filename	drive_url
presentation	https://drive.google.com/drive/folders/17Ti93B5V93Zq2OCoOX5sIzYOwpTf0f0T
2024-07-01 04:00	https://drive.google.com/drive/folders/17Ti93B5V93Zq2OCoOX5sIzYOwpTf0f0T
Slide05.jpg	https://drive.google.com/drive/folders/17Ti93B5V93Zq2OCoOX5sIzYOwpTf0f0T
corporate governance	https://drive.google.com/drive/folders/17Ti93B5V93Zq2OCoOX5sIzYOwpTf0f0T
ethics program management	https://drive.google.com/drive/folders/17Ti93B5V93Zq2OCoOX5sIzYOwpTf0f0T
compliance program	https://drive.google.com/drive/folders/17Ti93B5V93Zq2OCoOX5sIzYOwpTf0f0T
board of directors	https://drive.google.com/drive/folders/17Ti93B5V93Zq2OCoOX5sIzYOwpTf0f0T
executive management	https://drive.google.com/drive/folders/17Ti93B5V93Zq2OCoOX5sIzYOwpTf0f0T
business meeting	https://drive.google.com/drive/folders/17Ti93B5V93Zq2OCoOX5sIzYOwpTf0f0T
diverse team	https://drive.google.com/drive/folders/17Ti93B5V93Zq2OCoOX5sIzYOwpTf0f0T
professional discussion	https://drive.google.com/drive/folders/17Ti93B5V93Zq2OCoOX5sIzYOwpTf0f0T
corporate presentation	https://drive.google.com/drive/folders/17Ti93B5V93Zq2OCoOX5sIzYOwpTf0f0T
risk management	https://drive.google.com/drive/folders/17Ti93B5V93Zq2OCoOX5sIzYOwpTf0f0T
audit committee	https://drive.google.com/drive/folders/17Ti93B5V93Zq2OCoOX5sIzYOwpTf0f0T
compliance office	https://drive.google.com/drive/folders/17Ti93B5V93Zq2OCoOX5sIzYOwpTf0f0T
Mubadala	https://drive.google.com/drive/folders/17Ti93B5V93Zq2OCoOX5sIzYOwpTf0f0T
"Corporate Ethics & Compliance Management Presentation Slide"	https://drive.google.com/drive/folders/17Ti93B5V93Zq2OCoOX5sIzYOwpTf0f0T
https://drive.google.com/drive/folders/17Ti93B5V93Zq2OCoOX5sIzYOwpTf0f0T	https://drive.google.com/drive/folders/17Ti93B5V93Zq2OCoOX5sIzYOwpTf0f0T
https://drive.google.com/drive/folders/17Ti93B5V93Zq2OCoOX5sIzYOwpTf0f0T	https://drive.google.com/drive/folders/17Ti93B5V93Zq2OCoOX5sIzYOwpTf0f0T
2024-07-02 03:26	https://drive.google.com/drive/folders/17Ti93B5V93Zq2OCoOX5sIzYOwpTf0f0T
RIYADH - FEBRUARY 29: Kingdom tower on February 29, 2016 in Riyadh, Saudi Arabia. Kingdom tower is a business and convention center, shoping mall and one of the main landmarks of Riyadh city	https://drive.google.com/drive/folders/17Ti93B5V93Zq2OCoOX5sIzYOwpTf0f0T
urban	https://drive.google.com/drive/folders/17Ti93B5V93Zq2OCoOX5sIzYOwpTf0f0T
shutterstock_385588024.jpg	https://drive.google.com/drive/folders/17Ti93B5V93Zq2OCoOX5sIzYOwpTf0f0T
cityscape	https://drive.google.com/drive/folders/17Ti93B5V93Zq2OCoOX5sIzYOwpTf0f0T
skyscrapers	https://drive.google.com/drive/folders/17Ti93B5V93Zq2OCoOX5sIzYOwpTf0f0T
modern architecture	https://drive.google.com/drive/folders/17Ti93B5V93Zq2OCoOX5sIzYOwpTf0f0T
roads	https://drive.google.com/drive/folders/17Ti93B5V93Zq2OCoOX5sIzYOwpTf0f0T
vehicles	https://drive.google.com/drive/folders/17Ti93B5V93Zq2OCoOX5sIzYOwpTf0f0T
